"","Locality","Assemblage.name","GeoLayer","Age","Pos..standard.deviation","Dating.method"
"231","Abric Romaní","Level B Macromammal Fauna","Sequence I","45700","1300","U series (uranium-thorium) dating"
"233","Abric Romaní","Level B Macromammal Fauna","Sequence I","45900","1300","U series (uranium-thorium) dating"
"235","Abric Romaní","Level B Macromammal Fauna","Sequence I","47100","300","U series (uranium-thorium) dating"
"237","Abric Romaní","Level B Macromammal Fauna","Sequence I","52300","400","U series (uranium-thorium) dating"
"239","Abric Romaní","Level B Macromammal Fauna","Sequence I","56800","800","U series (uranium-thorium) dating"
"241","Abric Romaní","Level B Macromammal Fauna","Sequence I","44900","2500","U series (uranium-thorium) dating"
"243","Abric Romaní","Level B Macromammal Fauna","Sequence I","44600","1500","U series (uranium-thorium) dating"
"245","Abric Romaní","Level B Macromammal Fauna","Sequence I","44200","1500","U series (uranium-thorium) dating"
"247","Abric Romaní","Level B Macromammal Fauna","Sequence I","43400","1000000","U series (uranium-thorium) dating"
"249","Abric Romaní","Level B Macromammal Fauna","Sequence I","44400","1000000","U series (uranium-thorium) dating"
"251","Abric Romaní","Level B Macromammal Fauna","Sequence I","45600","1000000","U series (uranium-thorium) dating"
"253","Abric Romaní","Level B Macromammal Fauna","Sequence I","40680","940","14C (radiocarbon) dating"
"255","Abric Romaní","Level B Macromammal Fauna","Sequence I","44900","2500","U series (uranium-thorium) dating"
"256","Abric Romaní","Level C Macromammal Fauna","Sequence I","36740","920","14C (radiocarbon) dating"
"258","Abric Romaní","Level C Macromammal Fauna","Sequence I","37290","990","14C (radiocarbon) dating"
"260","Abric Romaní","Level C Macromammal Fauna","Sequence I","35400","810","14C (radiocarbon) dating"
"262","Abric Romaní","Level C Macromammal Fauna","Sequence I","37900","1000","14C (radiocarbon) dating"
"264","Abric Romaní","Level C Macromammal Fauna","Sequence I","28440","650","14C (radiocarbon) dating"
"266","Abric Romaní","Level C Macromammal Fauna","Sequence I","23160","490","14C (radiocarbon) dating"
"268","Abric Romaní","Level C Macromammal Fauna","Sequence I","36950","460","14C (radiocarbon) dating"
"270","Abric Romaní","Level C Macromammal Fauna","Sequence I","20680","110","14C (radiocarbon) dating"
"272","Abric Romaní","Level C Macromammal Fauna","Sequence I","20190","75","14C (radiocarbon) dating"
"274","Abric Romaní","Level C Macromammal Fauna","Sequence I","21155","80","14C (radiocarbon) dating"
"276","Abric Romaní","Level C Macromammal Fauna","Sequence I","20295","75","14C (radiocarbon) dating"
"278","Abric Romaní","Level C Macromammal Fauna","Sequence I","35900","600","14C (radiocarbon) dating"
"280","Abric Romaní","Level C Macromammal Fauna","Sequence I","36490","230","14C (radiocarbon) dating"
"282","Abric Romaní","Level C Macromammal Fauna","Sequence I","25010","120","14C (radiocarbon) dating"
"284","Abric Romaní","Level C Macromammal Fauna","Sequence I","36300","1300","14C (radiocarbon) dating"
"286","Abric Romaní","Level C Macromammal Fauna","Sequence I","35000","500","14C (radiocarbon) dating"
"288","Abric Romaní","Level C Macromammal Fauna","Sequence I","42900","1600","U series (uranium-thorium) dating"
"290","Abric Romaní","Level C Macromammal Fauna","Sequence I","39400","1500","U series (uranium-thorium) dating"
"292","Abric Romaní","Level C Macromammal Fauna","Sequence I","43800","1500","U series (uranium-thorium) dating"
"294","Abric Romaní","Level C Macromammal Fauna","Sequence I","39100","1500","U series (uranium-thorium) dating"
"296","Abric Romaní","Level C Macromammal Fauna","Sequence I","40800","1300","U series (uranium-thorium) dating"
"298","Abric Romaní","Level C Macromammal Fauna","Sequence I","45100","1000","U series (uranium-thorium) dating"
"300","Abric Romaní","Level C Macromammal Fauna","Sequence I","45500","1300","U series (uranium-thorium) dating"
"302","Abric Romaní","Level C Macromammal Fauna","Sequence I","48600","400","U series (uranium-thorium) dating"
"304","Abric Romaní","Level C Macromammal Fauna","Sequence I","46100","1300","U series (uranium-thorium) dating"
"306","Abric Romaní","Level C Macromammal Fauna","Sequence I","42600","1100","U series (uranium-thorium) dating"
"308","Abric Romaní","Level C Macromammal Fauna","Sequence I","41500","2000","U series (uranium-thorium) dating"
"310","Abric Romaní","Level C Macromammal Fauna","Sequence I","35400","800","14C (radiocarbon) dating"
"312","Abric Romaní","Level C Macromammal Fauna","Sequence I","37200","900","14C (radiocarbon) dating"
"314","Abric Romaní","Level C Macromammal Fauna","Sequence I","37900","1000","14C (radiocarbon) dating"
"316","Abric Romaní","Level C Macromammal Fauna","Sequence I","40700","600","U series (uranium-thorium) dating"
"318","Abric Romaní","Level C Macromammal Fauna","Sequence I","41000","300","U series (uranium-thorium) dating"
"320","Abric Romaní","Level C Macromammal Fauna","Sequence I","41300","300","U series (uranium-thorium) dating"
"322","Abric Romaní","Level C Macromammal Fauna","Sequence I","41300","400","U series (uranium-thorium) dating"
"324","Abric Romaní","Level C Macromammal Fauna","Sequence I","42100","300","U series (uranium-thorium) dating"
"326","Abric Romaní","Level C Macromammal Fauna","Sequence I","42300","300","U series (uranium-thorium) dating"
"328","Abric Romaní","Level C Macromammal Fauna","Sequence I","42500","200","U series (uranium-thorium) dating"
"330","Abric Romaní","Level C Macromammal Fauna","Sequence I","42600","300","U series (uranium-thorium) dating"
"332","Abric Romaní","Level C Macromammal Fauna","Sequence I","42600","400","U series (uranium-thorium) dating"
"334","Abric Romaní","Level C Macromammal Fauna","Sequence I","42700","200","U series (uranium-thorium) dating"
"336","Abric Romaní","Level C Macromammal Fauna","Sequence I","43000","800","U series (uranium-thorium) dating"
"338","Abric Romaní","Level C Macromammal Fauna","Sequence I","43100","1200","U series (uranium-thorium) dating"
"340","Abric Romaní","Level C Macromammal Fauna","Sequence I","44400","300","U series (uranium-thorium) dating"
"342","Abric Romaní","Level C Macromammal Fauna","Sequence I","45700","1300","U series (uranium-thorium) dating"
"344","Abric Romaní","Level C Macromammal Fauna","Sequence I","45900","1300","U series (uranium-thorium) dating"
"346","Abric Romaní","Level C Macromammal Fauna","Sequence I","47100","300","U series (uranium-thorium) dating"
"348","Abric Romaní","Level C Macromammal Fauna","Sequence I","52300","400","U series (uranium-thorium) dating"
"350","Abric Romaní","Level C Macromammal Fauna","Sequence I","56800","800","U series (uranium-thorium) dating"
"352","Abric Romaní","Level C Macromammal Fauna","Sequence I","44900","2500","U series (uranium-thorium) dating"
"354","Abric Romaní","Level C Macromammal Fauna","Sequence I","44600","1500","U series (uranium-thorium) dating"
"356","Abric Romaní","Level C Macromammal Fauna","Sequence I","44200","1500","U series (uranium-thorium) dating"
"358","Abric Romaní","Level C Macromammal Fauna","Sequence I","43400","1000000","U series (uranium-thorium) dating"
"360","Abric Romaní","Level C Macromammal Fauna","Sequence I","44400","1000000","U series (uranium-thorium) dating"
"362","Abric Romaní","Level C Macromammal Fauna","Sequence I","45600","1000000","U series (uranium-thorium) dating"
"364","Abric Romaní","Level C Macromammal Fauna","Sequence I","40680","940","14C (radiocarbon) dating"
"366","Abric Romaní","Level C Macromammal Fauna","Sequence I","44900","2500","U series (uranium-thorium) dating"
"367","Abric Romaní","Level D Macromammal Fauna","Sequence I","36740","920","14C (radiocarbon) dating"
"369","Abric Romaní","Level D Macromammal Fauna","Sequence I","37290","990","14C (radiocarbon) dating"
"371","Abric Romaní","Level D Macromammal Fauna","Sequence I","35400","810","14C (radiocarbon) dating"
"373","Abric Romaní","Level D Macromammal Fauna","Sequence I","37900","1000","14C (radiocarbon) dating"
"375","Abric Romaní","Level D Macromammal Fauna","Sequence I","28440","650","14C (radiocarbon) dating"
"377","Abric Romaní","Level D Macromammal Fauna","Sequence I","23160","490","14C (radiocarbon) dating"
"379","Abric Romaní","Level D Macromammal Fauna","Sequence I","36950","460","14C (radiocarbon) dating"
"381","Abric Romaní","Level D Macromammal Fauna","Sequence I","20680","110","14C (radiocarbon) dating"
"383","Abric Romaní","Level D Macromammal Fauna","Sequence I","20190","75","14C (radiocarbon) dating"
"385","Abric Romaní","Level D Macromammal Fauna","Sequence I","21155","80","14C (radiocarbon) dating"
"387","Abric Romaní","Level D Macromammal Fauna","Sequence I","20295","75","14C (radiocarbon) dating"
