"","Locality","Assemblage.name","GeoLayer","Age","Pos..standard.deviation","Dating.method"
"113","Ararat-1 Cave","Unit 2a, micromammals","Unit 2a","-","-","-"
"114","Ararat-1 Cave","Unit 2b, micromammals","Unit 2b","-","-","-"
"115","Ararat-1 Cave","Unit 2c, micromammals","Unit 2c","-","-","-"
"116","Ararat-1 Cave","Unit 2d, micromammals","Unit 2d","-","-","-"
"117","Ararat-1 Cave","Unit 3, micromammals","Unit 3","-","-","-"
"118","Ararat-1 Cave","Unit 4, micromammals","Unit 4","-","-","-"
"119","Ararat-1 Cave","Unit 5, micromammals","Unit 5","-","-","-"
"120","Arbreda Cave","Arbreda Cave Archaeological Layer I Micromammal Fauna","Layer B1_Mousterian","-","-","-"
"121","Arbreda Cave","Arbreda Cave Archaeological Layer H Micromammal Fauna","Layer B1_Proto-Aurignacian","-","-","-"
"122","Arbreda Cave","Arbreda Cave Archaeological Layer G Micromammal Fauna","Layer B1_Gravettian","-","-","-"
"123","Arbreda Cave","Arbreda Cave Archaeological Layer F Micromammal Fauna","Layer B1_Gravettian","-","-","-"
"124","Arbreda Cave","Arbreda Cave Archaeological Layer E Micromammal Fauna","Layer B1_Gravettian","-","-","-"
"125","Arbreda Cave","Arbreda Cave Archaeological Layer D Micromammal Fauna","Layer B1_Gravettian","-","-","-"
"126","Arbreda Cave","Arbreda Cave Archaeological Layer C Micromammal Fauna","Layer B1_Gravettian","-","-","-"
"127","Arbreda Cave","Arbreda Cave Archaeological Layer B Micromammal Fauna","Layer B1_Gravettian","-","-","-"
"128","Arbreda Cave","Arbreda Cave Archaeological Layer A Micromammal Fauna","Layer B1_Gravettian","-","-","-"
"129","Arbreda Cave","Arbreda Cave Terra Rossa Micromammal Fauna","Layer A Terra rossa","-","-","-"
"130","Arbreda Cave","Arbreda Cave Archaeological Layer J Macromammal Fauna","Layer B2.1","-","-","-"
"131","Arbreda Cave","Arbreda Cave Archaeological Layer J Micromammal Fauna","Layer B2.1","-","-","-"
"132","Arbreda Cave","Arbreda Cave Archaeological Layer D Macromammal Fauna","Layer B1_Gravettian","-","-","-"
"133","Arbreda Cave","Arbreda Cave Archaeological Layer I Macromammal Fauna","Layer B1_Gravettian","-","-","-"
"134","Arbreda Cave","Arbreda Cave Archaeological Layer H Macromammal Fauna","Layer B1_Gravettian","-","-","-"
"135","Arbreda Cave","Arbreda Cave Archaeological Layer E Macromammal Fauna","Layer B1_Gravettian","-","-","-"
"136","Arbreda Cave","Arbreda Cave Archaeological Layer K Macromammal Fauna","Layer B2.1","-","-","-"
"137","Arbreda Cave","Arbreda Cave Archaeological Layer K Micromammal Fauna","Layer B2.1","-","-","-"
"138","Arbreda Cave","Arbreda Cave Archaeological Layer L Micromammal Fauna","Layer B2.2","-","-","-"
"139","Arbreda Cave","Arbreda Cave Archaeological Layer L Macromammal Fauna","Layer B2.2","-","-","-"
"140","Arbreda Cave","Arbreda Cave Archaeological Layer M Macromammal Fauna","Layer B2.2","-","-","-"
"141","Arbreda Cave","Arbreda Cave Archaeological Layer M Micromammal Fauna","Layer B2.2","-","-","-"
"142","Arbreda Cave","Arbreda Cave Archaeological Layer N Micromammal Fauna","Layer B2.2","-","-","-"
"143","Arbreda Cave","Arbreda Cave Archaeological Layer N Macromammal Fauna","Layer B2.2","-","-","-"
"144","Archi","human remains","C-3","-","-","-"
"145","Archi","C3, Fauna","C-3","-","-","-"
"146","Archi","D2, Fauna","D-2","-","-","-"
"147","Arcy-sur-Cure - Grotte du Bison","Unit B Fauna","Unit B","24140","310","14C (radiocarbon) dating"
"148","Arcy-sur-Cure - Grotte du Bison","Unit D Fauna","Unit D","33670","450","14C (radiocarbon) dating"
"149","Arcy-sur-Cure - Grotte du Bison","Unit I Fauna","Unit I","50000","-1","14C (radiocarbon) dating"
"150","Arcy-sur-Cure - Grotte du Bison","Unit I human remains 01","Unit I","-","-","-"
"151","Arcy-sur-Cure - Grotte du Bison","Unit I human remains 02","Unit I","-","-","-"
"152","Arcy-sur-Cure - Grotte du Bison","Unit I human remains 03","Unit I","-","-","-"
"153","Arcy-sur-Cure - Grotte du Bison","Unit I human remains 04","Unit I","-","-","-"
"154","Arcy-sur-Cure - Grotte du Renne","Layer Xc Fauna","Unit X","-","-","-"
"155","Ariendorf","2 fauna","Loess Bed II","-","-","-"
"156","Arlanpe","Arlanpe SQ2 level VI fauna","Nivel VI","-","-","-"
"157","Arlanpe","Arlanpe SQ2 level 5 fauna","Nivel 5","-","-","-"
"158","Arlanpe","Arlanpe SQ2 level 4 fauna","Nivel 4","-","-","-"
"159","Arlanpe","Arlanpe SQ3 level V fauna","Nivel V","-","-","-"
"160","Arlanpe","Arlanpe SQ3 level IV fauna","Nivel IV","-","-","-"
"161","Arlanpe","Arlanpe SQ3 level 3 fauna","Nivel 3","-","-","-"
"162","Arlanpe","Arlanpe SQ3 level D fauna","Nivel D","-","-","-"
"163","Arlanpe","Arlanpe Level I","Nivel I","-","-","-"
"164","Arlanpe","Arlanpe Level II","Nivel II","-","-","-"
"165","Arlanpe","Arlanpe Level III","Nivel III","-","-","-"
"166","Arlanpe","Arlanpe Level 2","Nivel 2","-","-","-"
"167","Arlanpe","Arlanpe Level I Micromammals","Nivel I","-","-","-"
"168","Arlanpe","Arlanpe Level I-II Micromammals","Nivel I","-","-","-"
"169","Arlanpe","Arlanpe Level I-II Micromammals","Nivel II","-","-","-"
"170","Arlanpe","Arlanpe Level II Micromammals","Nivel II","-","-","-"
"171","Arlanpe","Arlanpe Level II-IV Micromammals","Nivel II","-","-","-"
"172","Arlanpe","Arlanpe Level II-IV Micromammals","Nivel III","-","-","-"
"173","Arlanpe","Arlanpe Level II-IV Micromammals","Nivel IV","-","-","-"
"174","Arlanpe","Arlanpe SQ3 Level V Micromammals","Nivel V","-","-","-"
"175","Arlanpe","Arlanpe Level V-VI Micromammals","Nivel V","-","-","-"
"176","Arlanpe","Arlanpe Level V-VI Micromammals","Nivel VI","-","-","-"
"177","Arlanpe","Arlanpe SQ2 Level VI Micromammals","Nivel VI","-","-","-"
"178","Arlanpe","Arlanpe Level 2 Micromammals","Nivel 2","-","-","-"
"179","Arlanpe","Arlanpe SQ3 Level 3 Micromammals","Nivel 3","-","-","-"
"180","Arlanpe","Arlanpe SQ2 Level 4 Micromammals","Nivel 4","-","-","-"
"181","Arlanpe","Arlanpe Level A Micromammals","Nivel A","-","-","-"
"182","Arlanpe","Arlanpe Level A-B Micromammals","Nivel A","-","-","-"
"183","Arlanpe","Arlanpe Level A-B Micromammals","Nivel B","-","-","-"
"184","Arlanpe","Arlanpe Level B Micromammals","Nivel B","-","-","-"
"185","Arlanpe","Arlanpe SQ3 Level C Micromammals","Nivel C","-","-","-"
"186","Arlanpe","Arlanpe SQ3 Level C-D Micromammals","Nivel C","-","-","-"
"187","Arlanpe","Arlanpe SQ3 Level C-D Micromammals","Nivel D","-","-","-"
"188","Arlanpe","Arlanpe SQ3 Level D Micromammals","Nivel D","-","-","-"
"189","Arlanpe","Arlanpe SQ3 Level IV Micromammals","Nivel IV","-","-","-"
"190","Arma delle Manie","Fauna","Unit I","-","-","-"
"191","Arma delle Manie","Fauna","Unit II","-","-","-"
"192","Arma delle Manie","Fauna","Unit III","-","-","-"
"193","Arma delle Manie","Fauna","Unit IV","-","-","-"
"194","Arma delle Manie","Fauna","Unit V","-","-","-"
"195","Arma delle Manie","Fauna","Unit VI","-","-","-"
"196","Arma delle Manie","Fauna","Unit VII","-","-","-"
"197","Arrillor","Amk human remains","Amk","-","-","-"
"198","Arrillor","Amk fauna","Amk","-","-","-"
"199","Arrillor","Smk-I fauna","Smk-l","-","-","-"
"200","Arrillor","Lmc fauna","Lmc","-","-","-"
"201","Artenac","Artenac Layer 10 Fauna","Unit 10","-","-","-"
"202","Artenac","Artenac Layer 9 Fauna","Unit 9","-","-","-"
"203","Artenac","Artenac Layer 8 Fauna","Unit 8","-","-","-"
"204","Artenac","Artenac Layer 7 Fauna","Unit 7","-","-","-"
