Dummy,Locality,Assemblage name,GeoLayer,Laboratory,Analysis number,Age,Pos. standard deviation,Neg. standard deviation,Dating method,Material dated,Date of analysis,Comments
,Abri Pataud,Abri Pataud Eboulis 5/6 fauna,Eboulis 5/6,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Eboulis 6/7 fauna,Eboulis 6/7,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Eboulis 7/8 fauna,Eboulis 7/8,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Eboulis 8/9 fauna,Eboulis 8/9,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Eboulis 10/11 fauna,Eboulis 10/11,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Eboulis 11/12 fauna,Eboulis 11/12,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Eboulis 12/13 fauna,Eboulis 12/13,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Eboulis 13/14 fauna,Eboulis 13/14,-,-,-,-,-,-,-,-,-
,Abri du Facteur,Unit 10 Fauna,Unit 10,-,-,-,-,-,-,-,-,-
,Abri du Facteur,Unit 15 Fauna,Unit 15,-,-,-,-,-,-,-,-,-
,Abri du Facteur,Unit 16 & 17 Fauna,Unit 16,-,-,-,-,-,-,-,-,-
,Abri du Facteur,Unit 16 & 17 Fauna,Unit 17,-,-,-,-,-,-,-,-,-
,Abri du Facteur,Unit 19 Fauna,Unit 17,-,-,-,-,-,-,-,-,-
,Abri du Facteur,Unit 21 Fauna,Unit 17,-,-,-,-,-,-,-,-,-
,Abric Romaní,Level A Macromammal Fauna,Sequence I,-,-,-,-,-,-,-,-,-
,Abric Romaní,Level B Macromammal Fauna,Sequence I,-,-,-,-,-,-,-,-,-
,Abric Romaní,Level C Macromammal Fauna,Sequence I,-,-,-,-,-,-,-,-,-
,Abric Romaní,Level D Macromammal Fauna,Sequence I,-,-,-,-,-,-,-,-,-
,Abric Romaní,Level E Macromammal Fauna,Sequence II,-,-,-,-,-,-,-,-,-
,Abric Romaní,Level F Macromammal Fauna,Sequence II,-,-,-,-,-,-,-,-,-
,Abric Romaní,Level G Macromammal Fauna,Sequence II,-,-,-,-,-,-,-,-,-
,Abric Romaní,Level H Macromammal Fauna,Sequence II,-,-,-,-,-,-,-,-,-
,Abric Romaní,Level I Macromammal Fauna,Sequence II,-,-,-,-,-,-,-,-,-
,Abric Romaní,Level J Macromammal Fauna,Sequence III,-,-,-,-,-,-,-,-,-
,Abric Romaní,"Level D, micromammals",Sequence I,-,-,-,-,-,-,-,-,-
,Abric Romaní,"Level E, micromammals",Sequence II,-,-,-,-,-,-,-,-,-
,Abric Romaní,"Level J, micromammals",Sequence III,-,-,-,-,-,-,-,-,-
,Abric Romaní,"Level N, micromammals",Sequence V,-,-,-,-,-,-,-,-,-
,Abric Romaní,"Level O, micromammals",Sequence V,-,-,-,-,-,-,-,-,-
,Abrigo de la Malia,LU-V Macromammal Fauna,LU-V,IPAS,TAM19-1,35100,2100,2100,OSL (optically stimulated thermoluminescence) dating,quartz,2024,-
,,,,,,,,,,,,
,,,,OxA,OxA-38331,31100,400,400,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-39951,31060,410,410,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-42418,28950,300,300,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-42419,28680,290,290,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-43446,28750,310,310,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-43582,28790,310,310,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-X-3239-35,27670,310,310,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-X-3249-23,29800,1000,1000,14C (radiocarbon) dating,bone,,-
