Locality;Country;Continent;Subcontinent;Locality_type;X;Y;Assemblage_name;Assemblage_id;Assemblage_category;Age_MIN;Age_MAX;Geolayer;Human_remains_genus;Human_remains_species;Human_remains_age;Human_remains_sex
Krapina;Croatia;Europe;Southern Europe;rock shelter;15.863;46.166;Krapina Layer 1-9 human remains 527;538;human remains;120000#120000#120000#120000#120000#120000#120000#120000#120000;140000#140000#140000#140000#140000#140000#140000#140000#140000;Complex II Unit c1#Complex II Unit c2#Complex II Unit c3#Complex II Unit c4#Complex II Unit c5#Complex II Unit c6#Complex II Unit c7#Complex II Unit c8#Complex II Unit c9;Homo;neanderthalensis;juvenile;-
Krapina;Croatia;Europe;Southern Europe;rock shelter;15.863;46.166;Krapina Layer 1-9 human remains 528;539;human remains;120000#120000#120000#120000#120000#120000#120000#120000#120000;140000#140000#140000#140000#140000#140000#140000#140000#140000;Complex II Unit c1#Complex II Unit c2#Complex II Unit c3#Complex II Unit c4#Complex II Unit c5#Complex II Unit c6#Complex II Unit c7#Complex II Unit c8#Complex II Unit c9;Homo;neanderthalensis;adult;-
Krapina;Croatia;Europe;Southern Europe;rock shelter;15.863;46.166;Krapina Layer 1-9 human remains 43;54;human remains;120000#120000#120000#120000#120000#120000#120000#120000#120000;140000#140000#140000#140000#140000#140000#140000#140000#140000;Complex II Unit c1#Complex II Unit c2#Complex II Unit c3#Complex II Unit c4#Complex II Unit c5#Complex II Unit c6#Complex II Unit c7#Complex II Unit c8#Complex II Unit c9;Homo;neanderthalensis;adult;-
Krapina;Croatia;Europe;Southern Europe;rock shelter;15.863;46.166;Krapina Layer 1-9 human remains 529;540;human remains;120000#120000#120000#120000#120000#120000#120000#120000#120000;140000#140000#140000#140000#140000#140000#140000#140000#140000;Complex II Unit c1#Complex II Unit c2#Complex II Unit c3#Complex II Unit c4#Complex II Unit c5#Complex II Unit c6#Complex II Unit c7#Complex II Unit c8#Complex II Unit c9;Homo;neanderthalensis;adult;-
Krapina;Croatia;Europe;Southern Europe;rock shelter;15.863;46.166;Krapina Layer 1-9 human remains 530;541;human remains;120000#120000#120000#120000#120000#120000#120000#120000#120000;140000#140000#140000#140000#140000#140000#140000#140000#140000;Complex II Unit c1#Complex II Unit c2#Complex II Unit c3#Complex II Unit c4#Complex II Unit c5#Complex II Unit c6#Complex II Unit c7#Complex II Unit c8#Complex II Unit c9;Homo;neanderthalensis;adult;-
Krapina;Croatia;Europe;Southern Europe;rock shelter;15.863;46.166;Krapina Layer 1-9 human remains 531;542;human remains;120000#120000#120000#120000#120000#120000#120000#120000#120000;140000#140000#140000#140000#140000#140000#140000#140000#140000;Complex II Unit c1#Complex II Unit c2#Complex II Unit c3#Complex II Unit c4#Complex II Unit c5#Complex II Unit c6#Complex II Unit c7#Complex II Unit c8#Complex II Unit c9;Homo;neanderthalensis;adult;-
Krapina;Croatia;Europe;Southern Europe;rock shelter;15.863;46.166;Krapina Layer 1-9 human remains 532;543;human remains;120000#120000#120000#120000#120000#120000#120000#120000#120000;140000#140000#140000#140000#140000#140000#140000#140000#140000;Complex II Unit c1#Complex II Unit c2#Complex II Unit c3#Complex II Unit c4#Complex II Unit c5#Complex II Unit c6#Complex II Unit c7#Complex II Unit c8#Complex II Unit c9;Homo;neanderthalensis;adult;-
Krapina;Croatia;Europe;Southern Europe;rock shelter;15.863;46.166;Krapina Layer 1-9 human remains 533;544;human remains;120000#120000#120000#120000#120000#120000#120000#120000#120000;140000#140000#140000#140000#140000#140000#140000#140000#140000;Complex II Unit c1#Complex II Unit c2#Complex II Unit c3#Complex II Unit c4#Complex II Unit c5#Complex II Unit c6#Complex II Unit c7#Complex II Unit c8#Complex II Unit c9;Homo;neanderthalensis;adult;-
Krapina;Croatia;Europe;Southern Europe;rock shelter;15.863;46.166;Krapina Layer 1-9 human remains 534;545;human remains;120000#120000#120000#120000#120000#120000#120000#120000#120000;140000#140000#140000#140000#140000#140000#140000#140000#140000;Complex II Unit c1#Complex II Unit c2#Complex II Unit c3#Complex II Unit c4#Complex II Unit c5#Complex II Unit c6#Complex II Unit c7#Complex II Unit c8#Complex II Unit c9;Homo;neanderthalensis;adult;-
Krapina;Croatia;Europe;Southern Europe;rock shelter;15.863;46.166;Krapina Layer 1-9 human remains 535;546;human remains;120000#120000#120000#120000#120000#120000#120000#120000#120000;140000#140000#140000#140000#140000#140000#140000#140000#140000;Complex II Unit c1#Complex II Unit c2#Complex II Unit c3#Complex II Unit c4#Complex II Unit c5#Complex II Unit c6#Complex II Unit c7#Complex II Unit c8#Complex II Unit c9;Homo;neanderthalensis;adult;-
