"Locality","Assemblage","GeoLayer.Name","Country","Locality.Type","X","Y","Technocomplex","Geostrat..Info..age.min","Geostrat..Info..age.max","Geostrat..Info..correlation","Geostrat..Info..mis","NISP.Sum.class.Mammalia","NISP.Sum.order.Rodentia","NISP.Sum.family.Anatidae","meanage","sdage","millenium","bio01","bio05","bio06","bio10","bio11","bio12","bio19","npp","biome","centrank","Suit"
"Caours","Caours N1 macrofauna","5","France","open air",1.8830556,50.131389,"MP/ Middle Paleolithic - Eurasia",109000,139000,"ESR (electron spin resonance) dating","5e","863","-","-",124000,0.999999797612226,124000,9.9939432144165,19.6251888275146,2.97339844703674,17.8316211700439,3.65718078613281,719.535278320312,176.660308837891,487.08642578125,6,NA,NA
"Carihuela","Carihuela Unit VII human remains 01","Unit VII","Spain","cave",-3.429722,37.448889,"MP/ Mousterian - Eurasia",63400,91000,"ESR (electron spin resonance) dating","-","-","-","-",70733,0.998912201396205,71000,9.721266746521,16.7455730438232,4.04831171035767,16.1183815002441,4.33675765991211,552.994079589844,204.68376159668,125.593116760254,15,NA,NA
"Carihuela","Carihuela Unit VIII - XI human remains 02","Unit VIII","Spain","cave",-3.429722,37.448889,"MP/ Mousterian - Eurasia",63400,64200,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","-","-","-","-",62932,1,63000,8.10439968109131,18.0462322235107,2.07310700416565,16.1086387634277,2.23878979682922,649.077880859375,279.236572265625,89.3462448120117,14,NA,NA
"Carihuela","Carihuela Unit VIII - XI human remains 02","Unit X","Spain","cave",-3.429722,37.448889,"MP/ Mousterian - Eurasia",64200,84250,"U series (uranium-thorium) dating","-","-","-","-",84250,1,84000,11.7048664093018,26.2334823608398,3.35530567169189,23.2841720581055,3.64976072311401,588.016479492188,237.384002685547,159.993408203125,17.7027549743652,NA,NA
"Carihuela","Carihuela Unit VIII - XI human remains 02","Unit XI","Spain","cave",-3.429722,37.448889,"MP/ Mousterian - Eurasia",82500,129880,"TL (thermoluminescence) dating, U series (uranium-thorium) dating","-","-","-","-",129736,1,130000,12.3308067321777,27.7942714691162,3.45742583274841,24.6221580505371,3.81537532806396,619.956115722656,251.281814575195,172.748886108398,19.2279930114746,NA,NA
"Champlost","Champlost occupation sector fauna","Unit 9","France","open air",3.681111,48.016795,"MP/ Middle Paleolithic - Eurasia",29000,71000,"ESR (electron spin resonance) dating, geology (based on position of layers)","4-3","","-","-",54450,0.999999999957562,54000,6.78842353820801,16.7304649353027,-1.46503460407257,15.4083032608032,-0.887889266014099,622.399780273438,146.370712280273,353.448791503906,11.4101591110229,NA,NA
"Cova del Gegant","Cova del Gegant Episode 3a Human Remains","Episode 3a","Spain","cave",1.7743,41.2235,"MP/ Mousterian - Eurasia",47500,51100,"U series (uranium-thorium) dating","3","-","-","-",50098,1,50000,11.1533308029175,18.5488090515137,5.56594467163086,17.7878093719482,5.97568988800049,579.047180175781,109.738456726074,297.905395507812,-316077312,NA,NA
"Cova del Gegant","Cova del Gegant Episode 6-0 Faunal Remains","Episode 1","Spain","cave",1.7743,41.2235,"MP/ Mousterian - Eurasia",50900,60500,"OSL (optically stimulated thermoluminescence) dating","3","","-","-",55686,0.999999999999951,56000,10.9470481872559,19.0919342041016,5.22730255126953,17.9759063720703,5.56994771957397,554.34765625,107.618171691895,288.624420166016,-316077312,NA,NA
"Cova del Gegant","Cova del Gegant Episode 6-0 Faunal Remains","Episode 2","Spain","cave",1.7743,41.2235,"MP/ Mousterian - Eurasia",56100,63900,"OSL (optically stimulated thermoluminescence) dating","3","","-","-",60081,1,60000,10.869987487793,19.3728141784668,5.01450252532959,18.1148777008057,5.31763696670532,539.135620117188,109.287773132324,267.736724853516,-316077312,NA,NA
"Covolo De Nadale","Covolo De Nadale Unit 7 Fauna","Unit 7","Italy","cave",11.3,45.26,"MP/ Mousterian - Eurasia",57000,71000,"U series (uranium-thorium) dating, geology (based on position of layers), biostratigraphy (small mammal)","4","20903","","-",70100,1,70000,6.74844360351562,14.3409299850464,-3.17740941047668,13.8403759002686,-2.20613431930542,716.689697265625,174.129440307617,442.626831054688,16.3845329284668,NA,NA
