"Locality","Assemblage","GeoLayer.Name","Country","Locality.Type","longitude","latitude","Technocomplex","Geostrat..Info..age.min","Geostrat..Info..age.max","Geostrat..Info..correlation","Geostrat..Info..mis","NISP.Sum.class.Mammalia","NISP.Sum.order.Rodentia","NISP.Sum.family.Anatidae","meanage","sdage","millenium","bio01","bio05","bio06","bio10","bio11","bio12","bio19","npp","biome","centrank","Suit"
"Cova del Gegant","Cova del Gegant Episode 6-0 Faunal Remains","Episode 1","Spain","cave",1.7743,41.2235,"MP/ Mousterian - Eurasia",50900,60500,"OSL (optically stimulated thermoluminescence) dating","3",NA,NA,NA,55686,1,56000,10.9470481872559,15.6866445541382,7.29868745803833,17.9759063720703,5.56994771957397,554.34765625,404.392822265625,288.624420166016,-316077312,2135,0.505231117037909
"Cova del Gegant","Cova del Gegant Episode 6-0 Faunal Remains","Episode 2","Spain","cave",1.7743,41.2235,"MP/ Mousterian - Eurasia",56100,63900,"OSL (optically stimulated thermoluminescence) dating","3",NA,NA,NA,60081,1,60000,10.869987487793,15.7485008239746,7.00801467895508,18.1148777008057,5.31763696670532,539.135620117188,371.866088867188,267.736724853516,-316077312,2110,0.483637632122094
"Covolo De Nadale","Covolo De Nadale Unit 7 Fauna","Unit 7","Italy","cave",11.3,45.26,"MP/ Mousterian - Eurasia",57000,71000,"U series (uranium-thorium) dating, geology, small mammal biostratigraphy","4",20903,NA,NA,70100,1,70000,6.74844360351562,7.89162731170654,3.20189166069031,13.8403759002686,-2.20613431930542,716.689697265625,589.553955078125,442.626831054688,16.3845329284668,586,0.64766752282038
"Cueva del Angel","Cueva del Angel Unit I - XVI Fauna","Unit VIII","Spain","cave",-4.478842,37.369444,"LP/ Acheulean - Europe",111000,132000,"U series (uranium-thorium) dating","",3560,NA,NA,121000,1,121000,15.9586391448975,22.8695755004883,9.79674911499023,26.346960067749,8.65498733520508,507.148376464844,72.5625076293945,228.488525390625,15,9356,0.225686313257219
"El Castillo","El Castillo Unit 21 human remains","Unit 21","Spain","cave",-3.966,43.292,"",59800,78400,"ESR (electron spin resonance) dating","",NA,NA,NA,69152,0.99999996,69000,6.05788040161133,7.12813472747803,3.20167970657349,9.85490036010742,2.1403603553772,939.751586914062,769.271728515625,62.9291572570801,-497885120,831,0.604964474482185
"El Castillo","El Castillo Unit 22 human remains","Unit 22","Spain","cave",-3.966,43.292,"",60700,80000,"ESR (electron spin resonance) dating","",NA,NA,NA,70245,0.999999937,70000,6.77121019363403,7.91982698440552,3.87018775939941,10.7703914642334,2.81390380859375,955.858581542969,793.821472167969,181.771530151367,-497885120,295,0.685796035292271
"El Castillo","El Castillo Exc. 1910-14 Unit 21 fauna","Unit 21","Spain","cave",-3.966,43.292,"",59800,78400,"ESR (electron spin resonance) dating","",40,NA,NA,63448,0.999999987,63000,5.45134592056274,8.27109050750732,2.12233877182007,10.2480173110962,1.04675376415253,901.927551269531,605.784118652344,68.0258941650391,-497885120,759,0.597164668424077
"El Castillo","El Castillo Exc. 1910-14 Unit 22 fauna","Unit 22","Spain","cave",-3.966,43.292,"",60700,80000,"ESR (electron spin resonance) dating","",1213,NA,NA,77679,0.999999987,78000,7.6558690071106,10.8991813659668,4.2850923538208,13.2037687301636,3.22478818893433,968.337951660156,678.317749023438,299.660980224609,-497885120,62,0.718729194099127
"El Salt","El Salt Fauna Unidad D Layer Xb","Unidad D","Spain","cave",-0.383,39.655,"MP/ Middle Paleolithic - Eurasia",44400,56900,"TL (thermoluminescence) dating, archaeological (cultural) stratigraphy","",724,157,NA,52300,1,52000,12.5508232116699,17.9236831665039,8.52033042907715,19.8425521850586,7.39895915985107,451.608703613281,214.765548706055,459.232788085938,-129938000,5055,0.28598670795227
"Fossellone","Fossellone human remains 01","Unit F26","Italy","cave",13.1,41.24,"MP/ Late Mousterian - Eurasia",51000,56000,"14C (radiocarbon) dating, TL (thermoluminescence) dating","",NA,NA,NA,55613,1,56000,11.6711454391479,17.0938148498535,7.04567337036133,19.5656089782715,5.15835189819336,712.259704589844,334.981475830078,140.733810424805,-515325440,1279,0.592747502674162
"Geißenklösterle","Geißenklösterle Geological Horizon 21 Fauna","GH 21","Germany","rock shelter",9.7713,48.3983,"MP/ Mousterian - Eurasia",64000,104000,"ESR (electron spin resonance) dating, archaeological (cultural) stratigraphy","5d-5c",61,60,NA,51780,0.999999999,52000,3.93293452262878,9.38438606262207,-0.546005845069885,13.2981376647949,-4.74326419830322,685.99462890625,398.984252929688,392.880676269531,8.97255706787109,1907,0.554451474817232
"Grotta Maggiore di San Bernardino","Grotta Maggiore di San Bernardino Layer VI fauna","Unit VI","Italy","cave",11.553914,45.423019,"",101000,154000,"ESR (electron spin resonance) dating, U series (uranium-thorium) dating, geology","",651,41,1,133000,0.936105837,133000,6.3104362487793,12.5704030990601,0.38672211766243,16.6560287475586,-4.31047058105469,828.802795410156,689.596496582031,434.073272705078,13.4207696914673,347,0.687900448865712
"Grotta Maggiore di San Bernardino","Grotta Maggiore di San Bernardino Layer V -IV fauna","Unit IV","Italy","cave",11.553914,45.423019,"",65000,101000,"ESR (electron spin resonance) dating, U series (uranium-thorium) dating, geology","",233,8,2,83000,0.999767395,83000,8.10753440856934,16.8493309020996,2.73023128509521,19.8355464935303,-2.20040130615234,840.90576171875,698.471130371094,463.514251708984,10.2112827301025,208,0.700975879943404
"Grotta Maggiore di San Bernardino","Grotta Maggiore di San Bernardino Layer V -IV fauna","Unit V","Italy","cave",11.553914,45.423019,"",101000,154000,"ESR (electron spin resonance) dating, U series (uranium-thorium) dating, geology","",233,8,2,108000,0.999999997,108000,6.263023853302,14.1152000427246,0.96038556098938,17.2969036102295,-3.97699213027954,795.358337402344,639.807312011719,398.633056640625,18.4966945648193,236,0.687833968285909
"Grotta di Santo Agostino","Grotta di Santo Agostino Unit A2 Fauna","Unit A2","Italy","cave",13.494,41.234,"MP/ Middle Paleolithic - Eurasia",43000,60000,"ESR (electron spin resonance) dating, U series (uranium-thorium) dating, geology","",455,78,NA,53000,0.999998788,53000,12.5728130340576,17.813419342041,7.92720937728882,20.551513671875,5.83541011810303,733.010803222656,365.259124755859,210.512573242188,-32874268,1268,0.608028374030295
"Grotta di Santo Agostino","Grotta di Santo Agostino Unit A3 Fauna","Unit A3","Italy","cave",13.494,41.234,"MP/ Middle Paleolithic - Eurasia",43000,65000,"ESR (electron spin resonance) dating, U series (uranium-thorium) dating, geology","",249,47,NA,54000,0.999002429,54000,12.3716993331909,17.692756652832,7.74429845809937,20.3837585449219,5.65090560913086,725.73486328125,361.033172607422,200.956268310547,-32874268,1244,0.607433180338167
"Grotte du Lazaret","Grotte du Lazaret C-III UA 1-4 fauna","Unit C-III","France","cave",7.2949,43.6909,"LP/ Acheulean - Europe",130000,150000,"geology, ESR (electron spin resonance) dating, U series (uranium-thorium) dating","6",2127,NA,NA,117969,0.999999999,118000,12.4190301895142,13.6341848373413,10.2153177261353,18.7462882995605,7.11553001403809,910.571960449219,634.71875,375.056488037109,-521018112,596,0.670077707121472
"Grotte du Lazaret","Grotte du Lazaret C-III UA 5-7 fauna","Unit C-III","France","cave",7.2949,43.6909,"LP/ Acheulean - Europe",130000,150000,"geology, ESR (electron spin resonance) dating, U series (uranium-thorium) dating","6",1607,NA,NA,117313,0.999995476,117000,12.1176767349243,12.913893699646,9.90234470367432,18.0951061248779,6.80358600616455,898.928527832031,646.778503417969,428.252593994141,-521018112,506,0.667645549892003
